direction,position,mean,std,count,family,instrument
block_ba,28,0.17548108641058208,0.25946680512909887,10,polysemy,lens
block_ba,29,0.03830914149293676,0.21873828958768388,10,polysemy,lens
block_ba,30,0.07704584994353354,0.1865387079117874,10,polysemy,lens
block_ba,31,0.04470063494518399,0.19859592260998082,10,polysemy,lens
block_ba,32,0.09262002184987068,0.185705857253117,10,polysemy,lens
block_ba,33,0.05112334684235975,0.19142700949678565,10,polysemy,lens
block_ba,34,0.0013389753177762032,0.13766524380997733,10,polysemy,lens
block_ba,35,-0.031393124256283045,0.052993422800898776,10,polysemy,lens
block_ba,36,-0.03418532158248126,0.03265418952015511,10,polysemy,lens
block_ba,37,0.035588992317207156,0.12868532673512456,10,polysemy,lens
block_ba,38,-0.028752247896045448,0.041378046425996524,10,polysemy,lens
block_ba,39,0.0023471338674426077,0.09398542382205499,10,polysemy,lens
block_ab,0,-1.261565810441971,0.4240791915610181,10,polysemy,raw
block_ab,1,-1.7314891934394836,0.36390188706870913,10,polysemy,raw
block_ab,2,-1.651498806476593,0.3882642580346705,10,polysemy,raw
block_ab,3,-1.7207323789596558,0.34389541701088727,10,polysemy,raw
block_ab,4,-1.775803554058075,0.3007732065930534,10,polysemy,raw
block_ab,5,-1.5305644750595093,0.35170811822755577,10,polysemy,raw
block_ab,6,-1.470344614982605,0.365347808322835,10,polysemy,raw
block_ab,7,-1.406830620765686,0.14712358539316162,10,polysemy,raw
block_ab,8,-1.6988989472389222,0.28911905744745553,10,polysemy,raw
block_ab,9,-1.6820644378662108,0.3190018255496449,10,polysemy,raw
block_ab,10,-1.4807888269424438,0.26841141860129186,10,polysemy,raw
block_ab,11,-1.4551114976406097,0.3071410380756201,10,polysemy,raw
block_ab,12,-1.3797895193099976,0.2200193615732056,10,polysemy,raw
block_ab,13,-1.5954885125160216,0.23855230484284198,10,polysemy,raw
block_ab,14,-1.568691372871399,0.23521124605515337,10,polysemy,raw
block_ab,15,-1.587222158908844,0.36734565997717566,10,polysemy,raw
block_ab,16,-1.5261483371257782,0.2709558026145917,10,polysemy,raw
block_ab,17,-1.2409373462200164,0.3261636216949412,10,polysemy,raw
block_ab,18,-1.3825089454650878,0.3144350992006429,10,polysemy,raw
block_ab,19,-1.329558891057968,0.24171239174218018,10,polysemy,raw
block_ab,20,-0.23333061914891004,0.6617859730629253,10,polysemy,raw
block_ab,21,0.2522050035186112,0.5927298620353905,10,polysemy,raw
block_ab,22,0.6220814645290375,0.3199089813148121,10,polysemy,raw
block_ab,23,0.47713823765516283,0.37763677883488866,10,polysemy,raw
block_ab,24,0.5508126296103001,0.4176222084096407,10,polysemy,raw
block_ab,25,0.6356846500188112,0.5372252535910403,10,polysemy,raw
block_ab,26,0.5353783220052719,0.5061826327963054,10,polysemy,raw
block_ab,27,0.4916326396167278,0.5332950267253356,10,polysemy,raw
block_ab,28,0.6182041816413403,0.3499952452640154,10,polysemy,raw
block_ab,29,0.7402866758406162,0.5052181995193548,10,polysemy,raw
block_ab,30,0.558807587902993,0.5954292380284592,10,polysemy,raw
block_ab,31,0.6136013805866242,0.38284570301666965,10,polysemy,raw
block_ab,32,0.508988919109106,0.3621962556479935,10,polysemy,raw
block_ab,33,0.32160233072936534,0.21747054954649347,10,polysemy,raw
block_ab,34,0.6930219346657396,0.4268694464063218,10,polysemy,raw
block_ab,35,0.45633979737758634,0.5805423313843424,10,polysemy,raw
block_ab,36,0.5939322076737881,0.42438554066610124,10,polysemy,raw
block_ab,37,0.4491958230733871,0.5605897222521461,10,polysemy,raw
block_ab,38,0.11734559573233128,0.5438107807382595,10,polysemy,raw
block_ab,39,0.1322466216981411,0.5437386239061638,10,polysemy,raw
block_ba,0,1.2430908262729645,0.15387230530083298,10,polysemy,raw
block_ba,1,1.0407811880111695,0.21218720260463825,10,polysemy,raw
block_ba,2,0.9277613401412964,0.22598220801538207,10,polysemy,raw
block_ba,3,0.8948487132787705,0.2758651645634075,10,polysemy,raw
block_ba,4,0.8652945250272751,0.3775759445014184,10,polysemy,raw
block_ba,5,0.642531794309616,0.24390398635886537,10,polysemy,raw
block_ba,6,0.6499823674559593,0.32754445168021,10,polysemy,raw
block_ba,7,0.8435721158981323,0.19304813594909978,10,polysemy,raw
block_ba,8,0.6539293743873713,0.4978498649080762,10,polysemy,raw
block_ba,9,0.9486681371927261,0.38416589819354263,10,polysemy,raw
block_ba,10,0.8881426393985749,0.304888798233624,10,polysemy,raw
block_ba,11,0.7944517433643341,0.25033134165236876,10,polysemy,raw
block_ba,12,0.8454158425331115,0.3855106314812163,10,polysemy,raw
block_ba,13,0.8461746871471405,0.29694557236667957,10,polysemy,raw
block_ba,14,0.6902979493141175,0.33600139308592575,10,polysemy,raw
block_ba,15,0.6958905190229416,0.41974764394154457,10,polysemy,raw
block_ba,16,0.759443747997284,0.22142535950412226,10,polysemy,raw
block_ba,17,0.8491781890392304,0.2609291143724967,10,polysemy,raw
block_ba,18,0.6170542478561402,0.49022902848831157,10,polysemy,raw
block_ba,19,0.6386999890208245,0.34490483809998046,10,polysemy,raw
block_ba,20,-0.11098051145672798,0.5071794298030378,10,polysemy,raw
block_ba,21,-0.32728707529604434,0.8326323776684652,10,polysemy,raw
block_ba,22,-0.736415809392929,0.48481500434759506,10,polysemy,raw
block_ba,23,-0.6847396810539067,0.6428754185946499,10,polysemy,raw
block_ba,24,-0.7840444833040238,0.5733693076614695,10,polysemy,raw
block_ba,25,-0.7334391867741943,0.7190186656359396,10,polysemy,raw
block_ba,26,-0.9856077283620834,0.48103904174389334,10,polysemy,raw
block_ba,27,-0.8423893362283706,0.5318026573860613,10,polysemy,raw
block_ba,28,-0.7102033729664982,0.5914555035223485,10,polysemy,raw
block_ba,29,-1.0835066430270672,0.6714874048087577,10,polysemy,raw
block_ba,30,-0.9369886726140976,0.4536021031345259,10,polysemy,raw
block_ba,31,-0.9894336625933647,0.5954149824774168,10,polysemy,raw
block_ba,32,-0.8731891214847565,0.494413606772027,10,polysemy,raw
block_ba,33,-1.040383693575859,0.5543931677274242,10,polysemy,raw
block_ba,34,-1.1524272799491881,0.4531960522646949,10,polysemy,raw
block_ba,35,-1.2201718389987946,0.40929021690473866,10,polysemy,raw
block_ba,36,-1.1707480430603028,0.4282787003238683,10,polysemy,raw
block_ba,37,-0.9042048156261444,0.3980122778234155,10,polysemy,raw
block_ba,38,-1.2956145405769348,0.26229275693260107,10,polysemy,raw
block_ba,39,-0.9047184228897095,0.26056450507715534,10,polysemy,raw
block_ab,0,-0.05720836874097586,0.17688984215639914,10,suicide,lens
block_ab,1,0.0058725403621792795,0.09320899398956237,10,suicide,lens
block_ab,2,0.14707901440560817,0.068374693021656,10,suicide,lens
block_ab,3,0.09371624000777956,0.06940124232788938,10,suicide,lens
block_ab,4,-0.024208273075055332,0.19310700361293764,10,suicide,lens
block_ab,5,0.03346809707581997,0.20868438474813036,10,suicide,lens
block_ab,6,-0.04067998006939888,0.25018144114584556,10,suicide,lens
block_ab,7,0.022904008626937866,0.2618098301952821,10,suicide,lens
block_ab,8,-0.014902663230895997,0.25918934399834637,10,suicide,lens
block_ab,9,0.10246280618011952,0.15971449093591805,10,suicide,lens
block_ab,10,0.05952890366315842,0.25742867469444924,10,suicide,lens
block_ab,11,0.15922473687678576,0.1749152386641975,10,suicide,lens
block_ab,12,0.10649831742048263,0.2146206438727144,10,suicide,lens
