probe,run,k,score,is_jump
fr_L14,fr_s1_ar_d3_fam03_rf,6,1.502,False
fr_L14,fr_s1_ar_d3_fam03_rf,7,1.503,False
fr_L14,fr_s1_ar_d3_fam03_rf,8,1.334,False
fr_L14,fr_s1_ar_d3_fam03_rf,9,1.477,False
fr_L14,fr_s1_ar_d3_fam03_rf,10,1.371,False
fr_L14,fr_s1_ar_d3_fam03_rf,11,1.201,False
fr_L14,fr_s1_ar_d3_fam03_rf,12,1.275,False
fr_L14,fr_s1_ar_d3_fam03_rf,13,1.232,False
fr_L14,fr_s1_ar_d3_fam03_rf,14,1.42,True
fr_L14,fr_s1_ar_d3_fam03_rf,15,1.447,False
fr_L14,fr_s1_ar_d3_fam03_rf,16,1.466,False
fr_L14,fr_s1_ar_d3_fam03_rf,17,1.334,False
fr_L14,fr_s1_ar_d3_fam03_rf,18,1.288,False
fr_L14,fr_s1_ar_d3_fam03_rf,19,1.249,False
fr_L14,fr_s1_ar_d3_fam03_rf,20,1.206,False
fr_L14,fr_s1_ar_d3_fam04_fr,1,1.107,False
fr_L14,fr_s1_ar_d3_fam04_fr,2,1.106,False
fr_L14,fr_s1_ar_d3_fam04_fr,3,1.068,False
fr_L14,fr_s1_ar_d3_fam04_fr,4,1.041,False
fr_L14,fr_s1_ar_d3_fam04_fr,5,1.013,False
fr_L14,fr_s1_ar_d3_fam04_fr,6,0.889,False
fr_L14,fr_s1_ar_d3_fam04_fr,7,0.958,False
fr_L14,fr_s1_ar_d3_fam04_fr,8,0.994,False
fr_L14,fr_s1_ar_d3_fam04_fr,9,0.984,True
fr_L14,fr_s1_ar_d3_fam04_fr,10,1.052,False
fr_L14,fr_s1_ar_d3_fam04_fr,11,1.043,False
fr_L14,fr_s1_ar_d3_fam04_fr,12,1.012,False
fr_L14,fr_s1_ar_d3_fam04_fr,13,1.06,False
fr_L14,fr_s1_ar_d3_fam04_fr,14,1.038,False
fr_L14,fr_s1_ar_d3_fam04_fr,15,1.02,False
fr_L14,fr_s1_ar_d3_fam04_fr,16,0.918,False
fr_L14,fr_s1_ar_d3_fam04_fr,17,1.02,False
fr_L14,fr_s1_ar_d3_fam04_fr,18,0.934,False
fr_L14,fr_s1_ar_d3_fam04_fr,19,0.92,False
fr_L14,fr_s1_ar_d3_fam04_fr,20,0.904,False
fr_L14,fr_s1_ar_d3_fam04_rf,1,0.963,False
fr_L14,fr_s1_ar_d3_fam04_rf,2,0.986,False
fr_L14,fr_s1_ar_d3_fam04_rf,3,0.908,False
fr_L14,fr_s1_ar_d3_fam04_rf,4,0.977,False
fr_L14,fr_s1_ar_d3_fam04_rf,5,0.942,False
fr_L14,fr_s1_ar_d3_fam04_rf,6,0.862,False
fr_L14,fr_s1_ar_d3_fam04_rf,7,0.992,False
fr_L14,fr_s1_ar_d3_fam04_rf,8,0.969,False
fr_L14,fr_s1_ar_d3_fam04_rf,9,0.891,False
fr_L14,fr_s1_ar_d3_fam04_rf,10,1.025,False
fr_L14,fr_s1_ar_d3_fam04_rf,11,0.914,False
fr_L14,fr_s1_ar_d3_fam04_rf,12,1.13,False
fr_L14,fr_s1_ar_d3_fam04_rf,13,1.154,True
fr_L14,fr_s1_ar_d3_fam04_rf,14,0.98,False
fr_L14,fr_s1_ar_d3_fam04_rf,15,0.932,False
fr_L14,fr_s1_ar_d3_fam04_rf,16,1.004,False
fr_L14,fr_s1_ar_d3_fam04_rf,17,0.908,False
fr_L14,fr_s1_ar_d3_fam04_rf,18,1.065,False
fr_L14,fr_s1_ar_d3_fam04_rf,19,1.019,False
fr_L14,fr_s1_ar_d3_fam04_rf,20,0.95,False
fr_L14,fr_s1_ar_d3_fam05_fr,1,1.215,False
fr_L14,fr_s1_ar_d3_fam05_fr,2,1.328,True
fr_L14,fr_s1_ar_d3_fam05_fr,3,1.32,False
fr_L14,fr_s1_ar_d3_fam05_fr,4,1.199,False
fr_L14,fr_s1_ar_d3_fam05_fr,5,0.947,False
fr_L14,fr_s1_ar_d3_fam05_fr,6,1.062,False
fr_L14,fr_s1_ar_d3_fam05_fr,7,0.923,False
fr_L14,fr_s1_ar_d3_fam05_fr,8,0.897,False
fr_L14,fr_s1_ar_d3_fam05_fr,9,1.003,False
fr_L14,fr_s1_ar_d3_fam05_fr,10,0.952,False
fr_L14,fr_s1_ar_d3_fam05_fr,11,0.887,False
fr_L14,fr_s1_ar_d3_fam05_fr,12,0.932,False
fr_L14,fr_s1_ar_d3_fam05_fr,13,0.861,False
fr_L14,fr_s1_ar_d3_fam05_fr,14,0.876,False
fr_L14,fr_s1_ar_d3_fam05_fr,15,0.827,False
fr_L14,fr_s1_ar_d3_fam05_fr,16,0.865,False
fr_L14,fr_s1_ar_d3_fam05_fr,17,0.892,False
fr_L14,fr_s1_ar_d3_fam05_fr,18,0.888,False
fr_L14,fr_s1_ar_d3_fam05_fr,19,0.867,False
fr_L14,fr_s1_ar_d3_fam05_fr,20,0.826,False
fr_L14,fr_s1_ar_d3_fam05_rf,1,1.053,False
fr_L14,fr_s1_ar_d3_fam05_rf,2,0.952,False
fr_L14,fr_s1_ar_d3_fam05_rf,3,0.993,False
fr_L14,fr_s1_ar_d3_fam05_rf,4,1.034,False
fr_L14,fr_s1_ar_d3_fam05_rf,5,1.083,False
fr_L14,fr_s1_ar_d3_fam05_rf,6,0.989,False
fr_L14,fr_s1_ar_d3_fam05_rf,7,1.036,True
fr_L14,fr_s1_ar_d3_fam05_rf,8,1.07,False
fr_L14,fr_s1_ar_d3_fam05_rf,9,1.06,False
fr_L14,fr_s1_ar_d3_fam05_rf,10,1.045,False
fr_L14,fr_s1_ar_d3_fam05_rf,11,1.032,False
