set	session	probes	status
tank_d6_fam06_k20_pure_B	session_16c9b1c5	1	ok
tank_d6_fam06_k10_interleaved	session_60d6035c	1	ok
tank_d6_fam07_k00_pure_A	session_3e1a7c61	1	ok
tank_d6_fam07_k02_B_recent	session_7af68db0	1	ok
tank_d6_fam07_k02_A_recent	session_ee7f667b	1	ok
tank_d6_fam07_k04_B_recent	session_92c3f69d	1	ok
tank_d6_fam07_k04_A_recent	session_5f11790c	1	ok
tank_d6_fam07_k06_B_recent	session_8d33e643	1	ok
tank_d6_fam07_k06_A_recent	session_5f70db7e	1	ok
tank_d6_fam07_k08_B_recent	session_6f030df3	1	ok
tank_d6_fam07_k08_A_recent	session_2cabdc23	1	ok
tank_d6_fam07_k10_B_recent	session_cc9e674f	1	ok
tank_d6_fam07_k10_A_recent	session_eb228904	1	ok
tank_d6_fam07_k12_B_recent	session_01fb3b87	1	ok
tank_d6_fam07_k12_A_recent	session_783969da	1	ok
tank_d6_fam07_k14_B_recent	session_fcad9258	1	ok
tank_d6_fam07_k14_A_recent	session_3a60a381	1	ok
tank_d6_fam07_k16_B_recent	session_ad7de42e	1	ok
tank_d6_fam07_k16_A_recent	session_abb53060	1	ok
tank_d6_fam07_k18_B_recent	session_bc6ad35b	1	ok
tank_d6_fam07_k18_A_recent	session_69394e67	1	ok
tank_d6_fam07_k20_pure_B	session_95d28bf9	1	ok
tank_d6_fam07_k10_interleaved	session_59ad98bc	1	ok
tank_d6_fam08_k00_pure_A	session_78dc7149	1	ok
tank_d6_fam08_k02_B_recent	session_35dfbac4	1	ok
tank_d6_fam08_k02_A_recent	session_b2399ff6	1	ok
tank_d6_fam08_k04_B_recent	session_fe916d10	1	ok
tank_d6_fam08_k04_A_recent	session_91372d1b	1	ok
tank_d6_fam08_k06_B_recent	session_bac5e0d1	1	ok
tank_d6_fam08_k06_A_recent	session_6bf4a0d0	1	ok
tank_d6_fam08_k08_B_recent	session_5a9d3f7d	1	ok
tank_d6_fam08_k08_A_recent	session_da80a196	1	ok
tank_d6_fam08_k10_B_recent	session_8034bc29	1	ok
tank_d6_fam08_k10_A_recent	session_a4d16387	1	ok
tank_d6_fam08_k12_B_recent	session_65e29551	1	ok
tank_d6_fam08_k12_A_recent	session_302daf77	1	ok
tank_d6_fam08_k14_B_recent	session_b3cc9acd	1	ok
tank_d6_fam08_k14_A_recent	session_2982389c	1	ok
tank_d6_fam08_k16_B_recent	session_d49f632e	1	ok
