set	session	probes	has_gen	has_lp	status	cap	pinned_date	reached_final	gen_chars	seconds	sampled	temperature	top_p	seed
tank_d3_fam07_ba_beh_k02	session_8246aecd	1	1	1	ok	2048	2026-08-29	1	2432	60.8	1	1.0	1.0	20260907
tank_d3_fam07_ba_beh_k06	session_a0050e5b	1	1	1	ok	2048	2026-08-29	1	3480	83.0	1	1.0	1.0	20260907
tank_d3_fam07_ba_beh_k12	session_aa37a23b	1	1	1	ok	2048	2026-08-29	1	2370	93.8	1	1.0	1.0	20260907
tank_d3_fam07_ba_beh_k20	session_1420917b	1	1	1	ok	2048	2026-08-29	1	4685	234.9	1	1.0	1.0	20260907
tank_d3_fam08_ab_beh_k02	session_587d58ae	1	1	1	ok	2048	2026-08-29	1	3573	96.9	1	1.0	1.0	20260907
tank_d3_fam08_ab_beh_k06	session_c522f055	1	1	1	ok	2048	2026-08-29	1	7482	155.4	1	1.0	1.0	20260907
tank_d3_fam08_ab_beh_k12	session_68deab42	1	1	1	ok	2048	2026-08-29	1	3233	124.4	1	1.0	1.0	20260907
tank_d3_fam08_ab_beh_k20	session_386a7059	1	1	1	ok	2048	2026-08-29	1	5571	249.3	1	1.0	1.0	20260907
tank_d3_fam08_ba_beh_k02	session_08eb043b	1	1	1	ok	2048	2026-08-29	1	1843	52.8	1	1.0	1.0	20260907
tank_d3_fam08_ba_beh_k06	session_7b4e7575	1	1	1	ok	2048	2026-08-29	1	3290	83.4	1	1.0	1.0	20260907
tank_d3_fam08_ba_beh_k12	session_dc928d60	1	1	1	ok	2048	2026-08-29	1	2573	82.5	1	1.0	1.0	20260907
tank_d3_fam08_ba_beh_k20	session_4905f4cf	1	1	1	ok	2048	2026-08-29	1	3616	159.3	1	1.0	1.0	20260907
tank_d3_fam09_ab_beh_k02	session_3b48648b	1	1	1	ok	2048	2026-08-29	1	2047	53.2	1	1.0	1.0	20260907
tank_d3_fam09_ab_beh_k06	session_5001074c	1	1	1	ok	2048	2026-08-29	1	2072	62.5	1	1.0	1.0	20260907
tank_d3_fam09_ab_beh_k12	session_56b7ba51	1	1	1	ok	2048	2026-08-29	1	2745	89.2	1	1.0	1.0	20260907
tank_d3_fam09_ab_beh_k20	session_cc741c3b	1	1	1	ok	2048	2026-08-29	1	2565	114.6	1	1.0	1.0	20260907
tank_d3_fam09_ba_beh_k02	session_1db079cf	1	1	1	ok	2048	2026-08-29	1	2854	63.0	1	1.0	1.0	20260907
tank_d3_fam09_ba_beh_k06	session_f8e9c44e	1	1	1	ok	2048	2026-08-29	1	2076	57.4	1	1.0	1.0	20260907
tank_d3_fam09_ba_beh_k12	session_0848a0cc	1	1	1	ok	2048	2026-08-29	1	5918	153.5	1	1.0	1.0	20260907
tank_d3_fam09_ba_beh_k20	session_d7c99a8c	1	1	1	ok	2048	2026-08-29	1	3663	144.1	1	1.0	1.0	20260907
