set	session	positions	status
fr_s1_th_d4_fam06_f_ck20	session_68f74295	186	ok
fr_s1_th_d4_fam06_f_ck21	session_5615f774	32	ok
fr_s1_th_d4_fam06_f_ck30	session_71583585	230	ok
fr_s1_th_d4_fam06_f_ck40	session_3545ccb2	446	ok
fr_s1_th_d4_fam06_r_ck20	session_67035bce	175	ok
fr_s1_th_d4_fam06_r_ck21	session_5a7cf0ef	30	ok
fr_s1_th_d4_fam06_r_ck30	session_f0dbe9c3	213	ok
fr_s1_th_d4_fam06_r_ck40	session_512c48e7	436	ok
fr_s1_th_d4_fam08_f_ck20	session_f3d13ec9	186	ok
fr_s1_th_d4_fam08_f_ck21	session_345521b9	30	ok
fr_s1_th_d4_fam08_f_ck30	session_680d9e65	228	ok
fr_s1_th_d4_fam08_f_ck40	session_f719ea00	459	ok
fr_s1_th_d4_fam08_r_ck20	session_5536d57a	176	ok
fr_s1_th_d4_fam08_r_ck21	session_b326bcd5	32	ok
fr_s1_th_d4_fam08_r_ck30	session_5000839f	228	ok
fr_s1_th_d4_fam08_r_ck40	session_9bf9da72	429	ok
fr_s1_th_d4_fam10_f_ck20	session_4806910a	167	ok
fr_s1_th_d4_fam10_f_ck21	session_79ef24a4	26	ok
fr_s1_th_d4_fam10_f_ck30	session_54b19345	228	ok
fr_s1_th_d4_fam10_f_ck40	session_8a708fbd	451	ok
fr_s1_th_d4_fam10_r_ck20	session_76789fd5	169	ok
fr_s1_th_d4_fam10_r_ck21	session_5cf7780f	35	ok
fr_s1_th_d4_fam10_r_ck30	session_c4181523	216	ok
fr_s1_th_d4_fam10_r_ck40	session_87b45a28	419	ok
