set	session	probes	has_gen	has_lp	status	cap	pinned_date	reached_final	gen_chars	seconds
fr_s1_ar_d3_fam10_fr_beh_k02	session_45c0b511	1	1	1	ok	2048	2026-08-29	1	2196	36.2
fr_s1_ar_d3_fam10_fr_beh_k06	session_dedeebfa	1	1	1	ok	2048	2026-08-29	0	9961	106.2
fr_s1_ar_d3_fam10_fr_beh_k12	session_455f5505	1	1	1	ok	2048	2026-08-29	1	4801	69.7
fr_s1_ar_d3_fam10_fr_beh_k20	session_bf61af43	1	1	1	ok	2048	2026-08-29	1	1938	57.6
fr_s1_ar_d3_fam10_rf_beh_k02	session_c9c3661f	1	1	1	ok	2048	2026-08-29	1	7890	87.4
fr_s1_ar_d3_fam10_rf_beh_k06	session_ee225519	1	1	1	ok	2048	2026-08-29	1	2302	32.9
fr_s1_ar_d3_fam10_rf_beh_k12	session_24c6c6ae	1	1	1	ok	2048	2026-08-29	1	2655	40.8
fr_s1_ar_d3_fam10_rf_beh_k20	session_a80cc506	1	1	1	ok	2048	2026-08-29	1	2104	45.8
fr_s1_ar_d3_fam11_fr_beh_k02	session_5531ba8a	1	1	1	ok	2048	2026-08-29	0	9487	110.9
fr_s1_ar_d3_fam11_fr_beh_k06	session_f891d69f	1	1	1	ok	2048	2026-08-29	1	9460	107.5
fr_s1_ar_d3_fam11_fr_beh_k12	session_8b0d7f4f	1	1	1	ok	2048	2026-08-29	0	9277	106.4
fr_s1_ar_d3_fam11_fr_beh_k20	session_30dec654	1	1	1	ok	2048	2026-08-29	1	9154	171.0
fr_s1_ar_d3_fam11_rf_beh_k02	session_2796579b	1	1	1	ok	2048	2026-08-29	1	1649	23.0
fr_s1_ar_d3_fam11_rf_beh_k06	session_e1ee0312	1	1	1	ok	2048	2026-08-29	1	2046	30.2
fr_s1_ar_d3_fam11_rf_beh_k12	session_3004dfd2	1	1	1	ok	2048	2026-08-29	0	9245	106.1
fr_s1_ar_d3_fam11_rf_beh_k20	session_7ce4e5f6	1	1	1	ok	2048	2026-08-29	1	3696	71.5
fr_s1_th_d3_fam00_fr_beh_k02	session_5d61f048	1	1	1	ok	2048	2026-08-29	1	3075	41.2
fr_s1_th_d3_fam00_fr_beh_k06	session_c0cc9413	1	1	1	ok	2048	2026-08-29	1	2023	30.1
fr_s1_th_d3_fam00_fr_beh_k12	session_185828ed	1	1	1	ok	2048	2026-08-29	0	9937	108.3
fr_s1_th_d3_fam00_fr_beh_k20	session_bcdbf2dd	1	1	1	ok	2048	2026-08-29	0	9948	147.2
fr_s1_th_d3_fam00_rf_beh_k02	session_f11747d7	1	1	1	ok	2048	2026-08-29	1	2055	32.1
fr_s1_th_d3_fam00_rf_beh_k06	session_e36029e6	1	1	1	ok	2048	2026-08-29	1	3880	50.2
fr_s1_th_d3_fam00_rf_beh_k12	session_9fc86c34	1	1	1	ok	2048	2026-08-29	0	9963	113.1
fr_s1_th_d3_fam00_rf_beh_k20	session_6ae3c135	1	1	1	ok	2048	2026-08-29	1	2291	50.3
fr_s1_th_d3_fam01_fr_beh_k02	session_7549efd3	1	1	1	ok	2048	2026-08-29	0	9940	107.4
fr_s1_th_d3_fam01_fr_beh_k06	session_003e2829	1	1	1	ok	2048	2026-08-29	0	9569	103.6
fr_s1_th_d3_fam01_fr_beh_k12	session_d3062eea	1	1	1	ok	2048	2026-08-29	0	9955	103.1
fr_s1_th_d3_fam01_fr_beh_k20	session_ce3c5bc4	1	1	1	ok	2048	2026-08-29	0	9988	119.9
fr_s1_th_d3_fam01_rf_beh_k02	session_dafec74a	1	1	1	ok	2048	2026-08-29	1	3384	43.3
fr_s1_th_d3_fam01_rf_beh_k06	session_ba538602	1	1	1	ok	2048	2026-08-29	1	1490	25.2
fr_s1_th_d3_fam01_rf_beh_k12	session_31fc1422	1	1	1	ok	2048	2026-08-29	1	1695	25.2
fr_s1_th_d3_fam01_rf_beh_k20	session_45f33e2d	1	1	1	ok	2048	2026-08-29	0	9962	156.5
fr_s1_th_d3_fam02_fr_beh_k02	session_a294692f	1	1	1	ok	2048	2026-08-29	1	4262	55.2
fr_s1_th_d3_fam02_fr_beh_k06	session_9f88307d	1	1	1	ok	2048	2026-08-29	1	1763	26.5
fr_s1_th_d3_fam02_fr_beh_k12	session_1f1cd618	1	1	1	ok	2048	2026-08-29	0	9965	109.6
fr_s1_th_d3_fam02_fr_beh_k20	session_963a9935	1	1	1	ok	2048	2026-08-29	1	1985	49.7
fr_s1_th_d3_fam02_rf_beh_k02	session_4656a7b8	1	1	1	ok	2048	2026-08-29	1	2722	42.6
fr_s1_th_d3_fam02_rf_beh_k06	session_e7954584	1	1	1	ok	2048	2026-08-29	0	9954	101.9
fr_s1_th_d3_fam02_rf_beh_k12	session_4c9d5e13	1	1	1	ok	2048	2026-08-29	0	9945	101.6
fr_s1_th_d3_fam02_rf_beh_k20	session_2a913944	1	1	1	ok	2048	2026-08-29	1	1636	42.1
fr_s1_th_d3_fam03_fr_beh_k02	session_9a6cde14	1	1	1	ok	2048	2026-08-29	0	9938	109.6
fr_s1_th_d3_fam03_fr_beh_k06	session_56b2de2c	1	1	1	ok	2048	2026-08-29	0	9923	108.9
fr_s1_th_d3_fam03_fr_beh_k12	session_44ce02f9	1	1	1	ok	2048	2026-08-29	1	7045	86.3
fr_s1_th_d3_fam03_fr_beh_k20	session_33f3b857	1	1	1	ok	2048	2026-08-29	0	9957	211.1
fr_s1_th_d3_fam03_rf_beh_k02	session_b452ce52	1	1	1	ok	2048	2026-08-29	0	9938	110.4
fr_s1_th_d3_fam03_rf_beh_k06	session_28c65ce8	1	1	1	ok	2048	2026-08-29	1	2379	35.5
fr_s1_th_d3_fam03_rf_beh_k12	session_87dc58ac	1	1	1	ok	2048	2026-08-29	0	9958	110.9
fr_s1_th_d3_fam03_rf_beh_k20	session_f86dd1ea	1	1	1	ok	2048	2026-08-29	1	1682	50.3
fr_s1_th_d3_fam04_fr_beh_k02	session_c2b545ff	1	1	1	ok	2048	2026-08-29	1	1834	28.6
fr_s1_th_d3_fam04_fr_beh_k06	session_0eb3ce54	1	1	1	ok	2048	2026-08-29	1	2012	33.5
fr_s1_th_d3_fam04_fr_beh_k12	session_d6c2df70	1	1	1	ok	2048	2026-08-29	1	1884	33.1
fr_s1_th_d3_fam04_fr_beh_k20	session_9172242e	1	1	1	ok	2048	2026-08-29	1	1907	68.8
fr_s1_th_d3_fam04_rf_beh_k02	session_f81356aa	1	1	1	ok	2048	2026-08-29	0	10239	112.0
