set	session	probes	has_gen	has_lp	status
fr_s1_th_d3_fam04_rf_beh_k06	session_e17e54e9	1	1	1	ok
fr_s1_th_d3_fam04_rf_beh_k12	session_39ed06c8	1	1	1	ok
fr_s1_th_d3_fam04_rf_beh_k20	session_457539f4	1	1	1	ok
fr_s1_th_d3_fam05_fr_beh_k02	session_dbd8154f	1	1	1	ok
fr_s1_th_d3_fam05_fr_beh_k06	session_17f7e84c	1	1	1	ok
fr_s1_th_d3_fam05_fr_beh_k12	session_30c8cb66	1	1	1	ok
fr_s1_th_d3_fam05_fr_beh_k20	session_41a49f96	1	1	1	ok
fr_s1_th_d3_fam05_rf_beh_k02	session_d327968c	1	1	1	ok
fr_s1_th_d3_fam05_rf_beh_k06	session_6def5f48	1	1	1	ok
fr_s1_th_d3_fam05_rf_beh_k12	session_e898a57c	1	1	1	ok
fr_s1_th_d3_fam05_rf_beh_k20	session_2d96c58d	1	1	1	ok
fr_s1_th_d3_fam06_fr_beh_k02	session_15266a6c	1	1	1	ok
fr_s1_th_d3_fam06_fr_beh_k06	session_c83780ca	1	1	1	ok
fr_s1_th_d3_fam06_fr_beh_k12	session_23eae496	1	1	1	ok
fr_s1_th_d3_fam06_fr_beh_k20	session_75ce1a86	1	1	1	ok
fr_s1_th_d3_fam06_rf_beh_k02	session_4b17c902	1	1	1	ok
fr_s1_th_d3_fam06_rf_beh_k06	session_ae82fd22	1	1	1	ok
fr_s1_th_d3_fam06_rf_beh_k12	session_4ae01745	1	1	1	ok
fr_s1_th_d3_fam06_rf_beh_k20	session_8069ecec	1	1	1	ok
fr_s1_th_d3_fam07_fr_beh_k02	session_a6b2e2e3	1	1	1	ok
fr_s1_th_d3_fam07_fr_beh_k06	session_b977cede	1	1	1	ok
fr_s1_th_d3_fam07_fr_beh_k12	session_4ff63792	1	1	1	ok
fr_s1_th_d3_fam07_fr_beh_k20	session_3a10ff48	1	1	1	ok
fr_s1_th_d3_fam07_rf_beh_k02	session_e25d37be	1	1	1	ok
fr_s1_th_d3_fam07_rf_beh_k06	session_abc8d9ab	1	1	1	ok
fr_s1_th_d3_fam07_rf_beh_k12	session_6336b3b5	1	1	1	ok
fr_s1_th_d3_fam07_rf_beh_k20	session_d17ede8a	1	1	1	ok
fr_s1_th_d3_fam08_fr_beh_k02	session_b1a5673a	1	1	1	ok
fr_s1_th_d3_fam08_fr_beh_k06	session_ce15f2d7	1	1	1	ok
fr_s1_th_d3_fam08_fr_beh_k12	session_d1c757db	1	1	1	ok
fr_s1_th_d3_fam08_fr_beh_k20	session_0b91159f	1	1	1	ok
fr_s1_th_d3_fam08_rf_beh_k02	session_29f4cb66	1	1	1	ok
fr_s1_th_d3_fam08_rf_beh_k06	session_664ee1d5	1	1	1	ok
fr_s1_th_d3_fam08_rf_beh_k12	session_34597228	1	1	1	ok
fr_s1_th_d3_fam08_rf_beh_k20	session_e8419ca4	1	1	1	ok
fr_s1_th_d3_fam09_fr_beh_k02	session_95bb1754	1	1	1	ok
fr_s1_th_d3_fam09_fr_beh_k06	session_5401a077	1	1	1	ok
fr_s1_th_d3_fam09_fr_beh_k12	session_35d6506e	1	1	1	ok
fr_s1_th_d3_fam09_fr_beh_k20	session_1fa72ed8	1	1	1	ok
fr_s1_th_d3_fam09_rf_beh_k02	session_aa9088ad	1	1	1	ok
fr_s1_th_d3_fam09_rf_beh_k06	session_13944f1d	1	1	1	ok
fr_s1_th_d3_fam09_rf_beh_k12	session_643412b9	1	1	1	ok
fr_s1_th_d3_fam09_rf_beh_k20	session_eaec1356	1	1	1	ok
fr_s1_th_d3_fam10_fr_beh_k02	session_2aaea219	1	1	1	ok
fr_s1_th_d3_fam10_fr_beh_k06	session_4c945654	1	1	1	ok
fr_s1_th_d3_fam10_fr_beh_k12	session_58ca984a	1	1	1	ok
fr_s1_th_d3_fam10_fr_beh_k20	session_4864afd2	1	1	1	ok
fr_s1_th_d3_fam10_rf_beh_k02	session_d7b31bdd	1	1	1	ok
fr_s1_th_d3_fam10_rf_beh_k06	session_d2c02101	1	1	1	ok
fr_s1_th_d3_fam10_rf_beh_k12	session_0c560dcb	1	1	1	ok
fr_s1_th_d3_fam10_rf_beh_k20	session_da0cfed3	1	1	1	ok
fr_s1_th_d3_fam11_fr_beh_k02	session_76f3a5ec	1	1	1	ok
fr_s1_th_d3_fam11_fr_beh_k06	session_70834626	1	1	1	ok
fr_s1_th_d3_fam11_fr_beh_k12	session_37ee4d4f	1	1	1	ok
fr_s1_th_d3_fam11_fr_beh_k20	session_bf658f88	1	1	1	ok
fr_s1_th_d3_fam11_rf_beh_k02	session_3dc9667e	1	1	1	ok
fr_s1_th_d3_fam11_rf_beh_k06	session_1ef56c28	1	1	1	ok
fr_s1_th_d3_fam11_rf_beh_k12	session_945edc87	1	1	1	ok
fr_s1_th_d3_fam11_rf_beh_k20	session_3829ff5c	1	1	1	ok
fr_s1_th_d4_fam00_f_beh_final	session_30c60a44	1	1	1	ok
fr_s1_th_d4_fam00_r_beh_final	session_dd422c56	1	1	1	ok
fr_s1_th_d4_fam02_f_beh_final	session_4463b276	1	1	1	ok
fr_s1_th_d4_fam02_r_beh_final	session_058f3f60	1	1	1	ok
fr_s1_th_d4_fam04_f_beh_final	session_a589b387	1	1	1	ok
fr_s1_th_d4_fam04_r_beh_final	session_ebca3d5e	1	1	1	ok
fr_s1_th_d4_fam06_f_beh_final	session_38dab658	1	1	1	ok
fr_s1_th_d4_fam06_r_beh_final	session_f8d677a5	1	1	1	ok
fr_s1_th_d4_fam08_f_beh_final	session_26581d07	1	1	1	ok
fr_s1_th_d4_fam08_r_beh_final	session_66437dcc	1	1	1	ok
fr_s1_th_d4_fam10_f_beh_final	session_efa57b55	1	1	1	ok
fr_s1_th_d4_fam10_r_beh_final	session_83d82e6d	1	1	1	ok
